seed,node_id,x,y,energy,node_type,sink_distance,neighbors,coverage_contribution,overlap_ratio,node_density,ann_prediction,final_state
123,18,42.64,89.34,1.0,advanced,61.11,10,0.0,1.0,0.7958,SLEEP,SLEEP
123,19,94.42,50.18,1.0,advanced,109.25,7,0.1618,0.8382,0.557,ACTIVE,ACTIVE
123,20,62.4,11.56,1.0,advanced,138.99,11,0.0,1.0,0.8754,SLEEP,SLEEP
123,21,31.73,41.48,1.0,advanced,110.04,17,0.0,1.0,1.3528,SLEEP,ACTIVE
123,22,86.63,25.05,1.0,advanced,130.21,9,0.0,1.0,0.7162,SLEEP,ACTIVE
123,23,48.3,98.56,1.0,advanced,51.47,5,0.38,0.62,0.3979,ACTIVE,ACTIVE
123,24,51.95,61.29,1.0,advanced,88.73,16,0.0,1.0,1.2732,SLEEP,SLEEP
123,25,12.06,82.63,1.0,advanced,77.31,7,0.0,1.0,0.557,SLEEP,SLEEP
123,26,60.31,54.51,1.0,advanced,96.05,16,0.0,1.0,1.2732,SLEEP,ACTIVE
123,27,34.28,30.41,1.0,advanced,120.62,10,0.0,1.0,0.7958,SLEEP,SLEEP
123,28,41.7,68.13,1.0,advanced,82.29,18,0.0,1.0,1.4324,SLEEP,SLEEP
123,29,87.55,51.04,1.0,advanced,105.84,10,0.0,1.0,0.7958,SLEEP,SLEEP
123,30,66.93,58.59,0.5,normal,92.96,13,0.0,1.0,1.0345,SLEEP,SLEEP
123,31,62.49,67.47,0.5,normal,83.47,15,0.0,1.0,1.1937,SLEEP,SLEEP
123,32,84.23,8.32,0.5,normal,145.76,9,0.1039,0.8961,0.7162,SLEEP,ACTIVE
123,33,76.37,24.37,0.5,normal,128.37,14,0.0,1.0,1.1141,SLEEP,SLEEP
123,34,19.42,57.25,0.5,normal,97.66,15,0.0375,0.9625,1.1937,SLEEP,ACTIVE
123,35,9.57,88.53,0.5,normal,73.57,7,0.1772,0.8228,0.557,ACTIVE,ACTIVE
123,36,62.72,72.34,0.5,normal,78.69,16,0.0127,0.9873,1.2732,SLEEP,ACTIVE
123,37,1.61,59.44,0.5,normal,102.67,6,0.0,1.0,0.4775,SLEEP,ACTIVE
123,38,55.68,15.9,0.5,normal,134.22,9,0.0909,0.9091,0.7162,SLEEP,ACTIVE
123,39,15.31,69.55,0.5,normal,87.61,16,0.0,1.0,1.2732,SLEEP,ACTIVE
123,40,31.88,69.2,0.5,normal,82.81,21,0.0,1.0,1.6711,SLEEP,SLEEP
123,41,55.44,38.9,0.5,normal,111.24,12,0.1728,0.8272,0.9549,SLEEP,ACTIVE
123,42,92.51,84.17,0.5,normal,78.37,3,0.2533,0.7467,0.2387,ACTIVE,ACTIVE
123,43,35.74,4.36,0.5,normal,146.34,4,0.4308,0.5692,0.3183,ACTIVE,ACTIVE
123,44,30.48,39.82,0.5,normal,111.9,15,0.0,1.0,1.1937,SLEEP,SLEEP
123,45,70.5,99.54,0.5,normal,54.47,5,0.4468,0.5532,0.3979,ACTIVE,ACTIVE
123,46,35.59,76.25,0.5,normal,75.14,17,0.0,1.0,1.3528,SLEEP,SLEEP
123,47,59.32,69.17,0.5,normal,81.37,18,0.0,1.0,1.4324,SLEEP,SLEEP
123,48,15.11,39.89,0.5,normal,115.51,11,0.0125,0.9875,0.8754,SLEEP,ACTIVE
123,49,24.09,34.35,0.5,normal,118.52,13,0.0,1.0,1.0345,SLEEP,SLEEP
123,50,51.31,66.66,0.5,normal,83.35,21,0.0,1.0,1.6711,SLEEP,ACTIVE
123,51,10.59,13.09,0.5,normal,142.47,3,0.05,0.95,0.2387,SLEEP,SLEEP
123,52,32.2,66.16,0.5,normal,85.71,20,0.0,1.0,1.5915,SLEEP,SLEEP
123,53,84.65,55.33,0.5,normal,100.82,12,0.0123,0.9877,0.9549,SLEEP,ACTIVE
123,54,85.45,38.48,0.5,normal,117.01,12,0.1013,0.8987,0.9549,SLEEP,ACTIVE
123,55,31.68,35.43,0.5,normal,116.03,14,0.0,1.0,1.1141,SLEEP,SLEEP
123,56,17.11,82.91,0.5,normal,74.72,10,0.0127,0.9873,0.7958,SLEEP,SLEEP
123,57,33.87,55.24,0.5,normal,96.13,19,0.0,1.0,1.512,SLEEP,SLEEP
123,58,57.86,52.15,0.5,normal,98.16,15,0.0,1.0,1.1937,SLEEP,SLEEP
123,59,0.27,98.83,0.5,normal,71.35,1,0.4828,0.5172,0.0796,ACTIVE,ACTIVE
123,60,90.53,20.76,0.5,normal,135.44,7,0.0886,0.9114,0.557,SLEEP,ACTIVE
123,61,29.25,52.0,0.5,normal,100.17,16,0.0,1.0,1.2732,SLEEP,SLEEP
123,62,90.19,98.36,0.5,normal,65.43,3,0.74,0.26,0.2387,ACTIVE,ACTIVE
123,63,25.75,56.44,0.5,normal,96.65,18,0.0,1.0,1.4324,SLEEP,SLEEP
123,64,80.7,39.44,0.5,normal,114.75,11,0.0,1.0,0.8754,SLEEP,SLEEP
123,65,73.11,16.11,0.5,normal,135.87,14,0.0,1.0,1.1141,SLEEP,SLEEP
123,66,60.07,86.59,0.5,normal,64.21,13,0.026,0.974,1.0345,SLEEP,SLEEP
123,67,98.35,7.94,0.5,normal,150.07,3,0.2917,0.7083,0.2387,ACTIVE,ACTIVE
123,68,42.83,20.45,0.5,normal,129.74,12,0.0,1.0,0.9549,SLEEP,ACTIVE
123,69,45.06,54.78,0.5,normal,95.35,19,0.0,1.0,1.512,SLEEP,ACTIVE
123,70,9.33,29.69,0.5,normal,127.0,7,0.4487,0.5513,0.557,ACTIVE,ACTIVE
123,71,92.76,56.9,0.5,normal,102.45,7,0.0,1.0,0.557,SLEEP,SLEEP
123,72,45.74,75.35,0.5,normal,74.77,17,0.0,1.0,1.3528,SLEEP,SLEEP
123,73,74.19,4.86,0.5,normal,147.14,9,0.0299,0.9701,0.7162,SLEEP,ACTIVE
